source_component,target_component,dependency_type,criticality,weight,description,created_at,updated_at
CMP-006,CMP-012,SYNC_API,MEDIUM,0.5,Invoice creation on order completion,2026-09-13T12:45:40.325851,2026-09-13T12:45:40.325852
CMP-007,CMP-003,SYNC_API,HIGH,0.8,Refund reverses the original payment,2026-09-13T12:45:40.325852,2026-09-13T12:45:40.325853
CMP-007,CMP-004,LIBRARY,HIGH,0.8,Refund requests reuse payment validation,2026-09-13T12:45:40.325853,2026-09-13T12:45:40.325854
CMP-007,CMP-008,DB_ACCESS,HIGH,0.8,Refund records persistence,2026-09-13T12:45:40.325854,2026-09-13T12:45:40.325855
CMP-007,CMP-011,ASYNC_EVENT,MEDIUM,0.5,Refund confirmation notifications,2026-09-13T12:45:40.325855,2026-09-13T12:45:40.325856
CMP-012,CMP-008,DB_ACCESS,MEDIUM,0.5,Invoice line sourcing,2026-09-13T12:45:40.325857,2026-09-13T12:45:40.325857
CMP-012,CMP-005,SYNC_API,MEDIUM,0.5,Invoice currency formatting,2026-09-13T12:45:40.325858,2026-09-13T12:45:40.325858
CMP-013,CMP-008,DB_ACCESS,LOW,0.25,Reporting reads the transaction store,2026-09-13T12:45:40.325859,2026-09-13T12:45:40.325859
CMP-015,CMP-008,DB_ACCESS,CRITICAL,1.0,Ledger postings persistence,2026-09-13T12:45:40.325860,2026-09-13T12:45:40.325860
CMP-009,CMP-010,SYNC_API,CRITICAL,1.0,Profile operations require a valid session,2026-09-13T12:45:40.325861,2026-09-13T12:45:40.325861
CMP-010,CMP-011,ASYNC_EVENT,MEDIUM,0.5,MFA and security notifications,2026-09-13T12:45:40.325862,2026-09-13T12:45:40.325863
CMP-014,CMP-008,DB_ACCESS,HIGH,0.8,Historical velocity checks,2026-09-13T12:45:40.325863,2026-09-13T12:45:40.325864
RCMP-002,RCMP-001,LIBRARY,CRITICAL,1.0,Departure test runs inside the onboard core,2026-09-13T12:45:40.325864,2026-09-13T12:45:40.325865
RCMP-002,RCMP-003,SYNC_API,CRITICAL,1.0,Departure test reads brake system status,2026-09-13T12:45:40.325865,2026-09-13T12:45:40.325866
RCMP-002,RCMP-005,SYNC_API,HIGH,0.8,Departure test drives crew prompts and keys,2026-09-13T12:45:40.325866,2026-09-13T12:45:40.325867
RCMP-002,RCMP-004,SYNC_API,HIGH,0.8,Departure test reads locomotive discretes,2026-09-13T12:45:40.325868,2026-09-13T12:45:40.325868
RCMP-001,RCMP-003,SYNC_API,CRITICAL,1.0,State machine consumes air brake cut-in status,2026-09-13T12:45:40.325869,2026-09-13T12:45:40.325869
RCMP-001,RCMP-004,SYNC_API,CRITICAL,1.0,Cut out switch position drives onboard state,2026-09-13T12:45:40.325870,2026-09-13T12:45:40.325870
RCMP-001,RCMP-007,SYNC_API,CRITICAL,1.0,Enforcement needs a valid position,2026-09-13T12:45:40.325871,2026-09-13T12:45:40.325871
RCMP-001,RCMP-010,LIBRARY,CRITICAL,1.0,Core triggers penalty enforcement,2026-09-13T12:45:40.325872,2026-09-13T12:45:40.325873
RCMP-010,RCMP-003,SYNC_API,CRITICAL,1.0,Penalty application through the brake interface,2026-09-13T12:45:40.325873,2026-09-13T12:45:40.325874
RCMP-007,RCMP-006,SYNC_API,CRITICAL,1.0,Position is resolved against the track database,2026-09-13T12:45:40.325874,2026-09-13T12:45:40.325875
RCMP-006,RCMP-009,SYNC_API,HIGH,0.8,Track database is distributed by the back office,2026-09-13T12:45:40.325875,2026-09-13T12:45:40.325876
RCMP-008,RCMP-001,ASYNC_EVENT,HIGH,0.8,Wayside status updates the onboard core,2026-09-13T12:45:40.325876,2026-09-13T12:45:40.325877
RCMP-005,RCMP-001,SYNC_API,HIGH,0.8,Crew acknowledgements feed the state machine,2026-09-13T12:45:40.325877,2026-09-13T12:45:40.325878
RCMP-009,RCMP-001,ASYNC_EVENT,HIGH,0.8,Initialisation and consist data,2026-09-13T12:45:40.325879,2026-09-13T12:45:40.325879
CMP-006,CMP-016,SYNC_API,CRITICAL,1.0,Checkout reserves stock,2026-09-13T17:22:31.158694,2026-09-13T17:22:31.158697
CMP-006,CMP-017,ASYNC_EVENT,HIGH,0.8,Paid orders are handed to shipping,2026-09-13T17:22:31.158697,2026-09-13T17:22:31.158698
CMP-006,CMP-019,SYNC_API,HIGH,0.8,Checkout applies promotions,2026-09-13T17:22:31.158698,2026-09-13T17:22:31.158698
CMP-006,CMP-025,SYNC_API,HIGH,0.8,Order tax is computed by the tax engine,2026-09-13T17:22:31.158699,2026-09-13T17:22:31.158699
CMP-001,CMP-018,SYNC_API,MEDIUM,0.5,Storefront reads the product catalog,2026-09-13T17:22:31.158699,2026-09-13T17:22:31.158700
CMP-029,CMP-018,ASYNC_EVENT,MEDIUM,0.5,Search index is built from catalog events,2026-09-13T17:22:31.158700,2026-09-13T17:22:31.158700
CMP-001,CMP-029,SYNC_API,MEDIUM,0.5,Storefront search,2026-09-13T17:22:31.158701,2026-09-13T17:22:31.158701
CMP-020,CMP-006,ASYNC_EVENT,MEDIUM,0.5,Loyalty points earned on completed orders,2026-09-13T17:22:31.158701,2026-09-13T17:22:31.158702
CMP-021,CMP-003,SYNC_API,CRITICAL,1.0,Recurring charges use the payment service,2026-09-13T17:22:31.158702,2026-09-13T17:22:31.158702
CMP-021,CMP-012,SYNC_API,MEDIUM,0.5,Subscription invoices,2026-09-13T17:22:31.158703,2026-09-13T17:22:31.158703
CMP-022,CMP-003,SYNC_API,CRITICAL,1.0,Wallet top-ups are card payments,2026-09-13T17:22:31.158703,2026-09-13T17:22:31.158704
CMP-022,CMP-015,ASYNC_EVENT,CRITICAL,1.0,Wallet balance movements are posted to the ledger,2026-09-13T17:22:31.158704,2026-09-13T17:22:31.158704
CMP-023,CMP-007,SYNC_API,HIGH,0.8,Won chargebacks reverse through refunds,2026-09-13T17:22:31.158705,2026-09-13T17:22:31.158705
CMP-023,CMP-015,ASYNC_EVENT,HIGH,0.8,Chargeback outcomes are posted to the ledger,2026-09-13T17:22:31.158705,2026-09-13T17:22:31.158706
CMP-024,CMP-015,SYNC_API,CRITICAL,1.0,Payout amounts come from settled ledger balances,2026-09-13T17:22:31.158706,2026-09-13T17:22:31.158706
CMP-024,CMP-026,SYNC_API,CRITICAL,1.0,Payouts require a verified merchant,2026-09-13T17:22:31.158707,2026-09-13T17:22:31.158707
CMP-009,CMP-027,SYNC_API,HIGH,0.8,Profile reads marketing consent,2026-09-13T17:22:31.158707,2026-09-13T17:22:31.158708
CMP-011,CMP-027,SYNC_API,HIGH,0.8,Notifications honour consent at send time,2026-09-13T17:22:31.158708,2026-09-13T17:22:31.158708
CMP-010,CMP-028,ASYNC_EVENT,HIGH,0.8,Security events are written to the audit trail,2026-09-13T17:22:31.158708,2026-09-13T17:22:31.158709
CMP-030,CMP-002,SYNC_API,CRITICAL,1.0,Mobile app calls backends through the gateway,2026-09-13T17:22:31.158709,2026-09-13T17:22:31.158709
CMP-003,CMP-031,ASYNC_EVENT,CRITICAL,1.0,Payment events are published on the broker,2026-09-13T17:22:31.158710,2026-09-13T17:22:31.158710
CMP-032,CMP-007,SYNC_API,HIGH,0.8,Support agents raise refunds,2026-09-13T17:22:31.158710,2026-09-13T17:22:31.158711
CMP-033,CMP-008,DB_ACCESS,MEDIUM,0.5,Nightly extract from the transaction store,2026-09-13T17:22:31.158711,2026-09-13T17:22:31.158711
CMP-034,CMP-022,SYNC_API,MEDIUM,0.5,Gift card redemption credits the wallet,2026-09-13T17:22:31.158712,2026-09-13T17:22:31.158712
CMP-035,CMP-007,SYNC_API,HIGH,0.8,Approved returns trigger refunds,2026-09-13T17:22:31.158712,2026-09-13T17:22:31.158713
CMP-035,CMP-016,ASYNC_EVENT,MEDIUM,0.5,Returned items go back into stock,2026-09-13T17:22:31.158713,2026-09-13T17:22:31.158713
RCMP-011,RCMP-019,LIBRARY,CRITICAL,1.0,Enforcement uses the braking curve,2026-09-13T17:22:31.158714,2026-09-13T17:22:31.158714
RCMP-019,RCMP-012,SYNC_API,CRITICAL,1.0,Braking curve needs consist weight and length,2026-09-13T17:22:31.158714,2026-09-13T17:22:31.158715
RCMP-001,RCMP-014,SYNC_API,CRITICAL,1.0,Core enforces temporary speed restrictions,2026-09-13T17:22:31.158715,2026-09-13T17:22:31.158715
RCMP-015,RCMP-017,SYNC_API,HIGH,0.8,Signal aspects arrive over the radio link,2026-09-13T17:22:31.158716,2026-09-13T17:22:31.158716
