requirement_id,title,description,business_domain,priority,status,component,linked_components,features,source_system,domain,created_at,updated_at
L2R720,Departure test execution and result reporting,On completion of the departure test the on-board segment shall report a pass or fail result to the crew display and shall record the result for the back office.,Onboard,HIGH,APPROVED,RCMP-002,"[""RCMP-002"", ""RCMP-005"", ""RCMP-009""]","[""Departure Test"", ""Test Results""]",LOCAL,rail,2026-09-13T12:45:40.340425,2026-09-13T16:26:06.890835
L2R845,Position determination initialisation,The on-board segment shall not declare position determined until the position determination system reports a valid position with an uncertainty below TBC030 feet.,Navigation,CRITICAL,APPROVED,RCMP-007,"[""RCMP-007"", ""RCMP-006"", ""RCMP-001""]","[""Position Determination"", ""Initialisation""]",LOCAL,rail,2026-09-13T12:45:40.340426,2026-09-13T16:26:06.890836
L2R910,Track database version validation,The on-board segment shall verify the track database version against the version advertised by the back office and shall enter DISENGAGED if the versions differ.,Navigation,CRITICAL,APPROVED,RCMP-006,"[""RCMP-006"", ""RCMP-009"", ""RCMP-001""]","[""Track Database"", ""Version Validation""]",LOCAL,rail,2026-09-13T12:45:40.340428,2026-09-13T16:26:06.890836
L2R1102,Wayside status message processing,The on-board segment shall process WIU status messages received over the 220 MHz data radio and shall treat a message older than TBC060 seconds as stale.,Communications,HIGH,APPROVED,RCMP-008,"[""RCMP-008"", ""RCMP-001""]","[""Wayside Messaging"", ""Message Freshness""]",LOCAL,rail,2026-09-13T12:45:40.340429,2026-09-13T16:26:06.890836
L2R1350,Crew display menu key layout,The on-board segment shall present Menu 1 soft keys in the defined order and shall grey out any key whose preconditions are not satisfied.,Crew Interface,MEDIUM,APPROVED,RCMP-005,"[""RCMP-005"", ""RCMP-002""]","[""Menu Keys"", ""Crew Interface""]",LOCAL,rail,2026-09-13T12:45:40.340431,2026-09-13T16:26:06.890837
REQ-1021,Stock Reservation at Checkout,The Inventory Service shall reserve stock for every line item before payment authorisation and shall release the reservation when authorisation fails or the order is cancelled.,Orders,CRITICAL,APPROVED,CMP-016,"[""CMP-016"", ""CMP-006""]","[""Inventory Reservation"", ""Checkout""]",LOCAL,commerce,2026-09-13T17:22:31.160038,2026-09-13T17:22:31.160040
REQ-1022,Shipment Creation and Carrier Labels,"The Shipping Service shall create a shipment for every paid order, select the carrier service for the delivery option and generate a carrier label within 5 minutes.",Fulfilment,HIGH,APPROVED,CMP-017,"[""CMP-017"", ""CMP-006"", ""CMP-011""]","[""Shipping"", ""Carrier Labels""]",LOCAL,commerce,2026-09-13T17:22:31.160041,2026-09-13T17:22:31.160041
REQ-1023,Product Price and Availability Display,"The Product Catalog Service shall show the current price and stock availability on product pages, and availability shall not be older than 60 seconds.",Catalog,MEDIUM,APPROVED,CMP-018,"[""CMP-018"", ""CMP-001"", ""CMP-016""]","[""Product Catalog"", ""Price Display""]",LOCAL,commerce,2026-09-13T17:22:31.160042,2026-09-13T17:22:31.160042
REQ-1024,Coupon and Promotion Limits,"The Promotion Engine shall apply eligible coupons, enforce the per-order promotion limit and redeem each coupon exactly once per order.",Orders,HIGH,APPROVED,CMP-019,"[""CMP-019"", ""CMP-006""]","[""Promotions"", ""Coupons""]",LOCAL,commerce,2026-09-13T17:22:31.160043,2026-09-13T17:22:31.160043
REQ-1025,Loyalty Points Accrual,The Loyalty Service shall award loyalty points only for completed orders and shall remove points when an order is cancelled or refunded.,Engagement,MEDIUM,APPROVED,CMP-020,"[""CMP-020"", ""CMP-006"", ""CMP-011""]","[""Loyalty Points""]",LOCAL,commerce,2026-09-13T17:22:31.160043,2026-09-13T17:22:31.160044
REQ-1026,Subscription Renewal Charging,The Subscription Billing Service shall charge each renewal in the plan currency and retry failed renewals on a schedule before suspending the subscription.,Finance,HIGH,APPROVED,CMP-021,"[""CMP-021"", ""CMP-003"", ""CMP-012""]","[""Subscription Billing"", ""Recurring Payments""]",LOCAL,commerce,2026-09-13T17:22:31.160044,2026-09-13T17:22:31.160044
REQ-1027,Wallet Balance Integrity,"The Digital Wallet Service shall never allow a balance below zero, shall apply top-ups only after payment capture and shall post every balance movement to the ledger.",Payments,CRITICAL,APPROVED,CMP-022,"[""CMP-022"", ""CMP-003"", ""CMP-015""]","[""Digital Wallet"", ""Wallet Balance""]",LOCAL,commerce,2026-09-13T17:22:31.160045,2026-09-13T17:22:31.160045
REQ-1028,Chargeback Dispute Handling,The Chargeback Service shall submit dispute evidence before the scheme deadline and shall post each chargeback outcome to the ledger exactly once.,Payments,HIGH,APPROVED,CMP-023,"[""CMP-023"", ""CMP-007"", ""CMP-015""]","[""Chargebacks"", ""Dispute Management""]",LOCAL,commerce,2026-09-13T17:22:31.160046,2026-09-13T17:22:31.160046
REQ-1029,Merchant Payout Release,The Merchant Payout Service shall release payouts only to merchants with an approved KYC status and only for settled ledger balances.,Finance,CRITICAL,APPROVED,CMP-024,"[""CMP-024"", ""CMP-015"", ""CMP-026""]","[""Merchant Payouts""]",LOCAL,commerce,2026-09-13T17:22:31.160046,2026-09-13T17:22:31.160047
REQ-1030,Jurisdiction Tax Calculation,"The Tax Calculation Service shall calculate tax by delivery jurisdiction, apply EU VAT rules for cross-border orders and round tax per invoice.",Finance,HIGH,APPROVED,CMP-025,"[""CMP-025"", ""CMP-006"", ""CMP-012""]","[""Tax Calculation"", ""VAT Rules""]",LOCAL,commerce,2026-09-13T17:22:31.160047,2026-09-13T17:22:31.160047
REQ-1031,Merchant KYC Verification,"The KYC Verification Service shall verify merchant identity documents, reject expired documents and re-verify merchants every 12 months.",Risk,CRITICAL,APPROVED,CMP-026,"[""CMP-026"", ""CMP-024""]","[""KYC Verification"", ""Merchant Onboarding""]",LOCAL,commerce,2026-09-13T17:22:31.160048,2026-09-13T17:22:31.160048
REQ-1032,Marketing Consent Enforcement,"The Consent Management Service shall record marketing consent per channel, and no marketing message shall be sent after consent is withdrawn.",Identity,HIGH,APPROVED,CMP-027,"[""CMP-027"", ""CMP-009"", ""CMP-011""]","[""Consent Management""]",LOCAL,commerce,2026-09-13T17:22:31.160049,2026-09-13T17:22:31.160049
REQ-1033,Security Audit Trail,"The Audit Trail Service shall record every sign-in, MFA reset, permission change and admin action with actor, time and outcome.",Security,HIGH,APPROVED,CMP-028,"[""CMP-028"", ""CMP-010""]","[""Audit Trail""]",LOCAL,commerce,2026-09-13T17:22:31.160049,2026-09-13T17:22:31.160050
REQ-1034,Product Search Relevance,"The Search Service shall return only products from enabled categories, tolerate one-letter typos and rank exact title matches first.",Catalog,MEDIUM,APPROVED,CMP-029,"[""CMP-029"", ""CMP-018"", ""CMP-001""]","[""Product Search""]",LOCAL,commerce,2026-09-13T17:22:31.160050,2026-09-13T17:22:31.160051
REQ-1035,Mobile App Session Security,The Mobile App Backend shall revoke mobile sessions within 60 seconds of a password change and shall require step-up authentication for payments.,Customer Experience,HIGH,APPROVED,CMP-030,"[""CMP-030"", ""CMP-002"", ""CMP-010""]","[""Mobile App"", ""Mobile Sessions""]",LOCAL,commerce,2026-09-13T17:22:31.160051,2026-09-13T17:22:31.160051
REQ-1036,Ordered Payment Event Publishing,Payment events shall be published on the Event Broker in transaction order and delivered at least once to the ledger and reporting consumers.,Platform,CRITICAL,APPROVED,CMP-031,"[""CMP-031"", ""CMP-003"", ""CMP-015""]","[""Event Streaming""]",LOCAL,commerce,2026-09-13T17:22:31.160052,2026-09-13T17:22:31.160052
REQ-1037,Support Portal Refunds,"The Customer Support Portal shall let agents raise full and partial refunds, using the shared refund validation and never exceeding the captured amount.",Customer Experience,MEDIUM,APPROVED,CMP-032,"[""CMP-032"", ""CMP-007""]","[""Customer Support"", ""Support Refunds""]",LOCAL,commerce,2026-09-13T17:22:31.160053,2026-09-13T17:22:31.160053
REQ-1038,Nightly Finance Extract,"The Finance Data Warehouse shall load a nightly extract of settled payments and refunds, counting each refund reversal once.",Finance,MEDIUM,APPROVED,CMP-033,"[""CMP-033"", ""CMP-008"", ""CMP-013""]","[""Data Warehouse"", ""Finance Extract""]",LOCAL,commerce,2026-09-13T17:22:31.160053,2026-09-13T17:22:31.160054
REQ-1039,Gift Card Redemption,"The Gift Card Service shall issue gift cards with an expiry date, reject redemption after expiry in the card's timezone and credit redemptions to the wallet.",Payments,MEDIUM,APPROVED,CMP-034,"[""CMP-034"", ""CMP-022""]","[""Gift Cards""]",LOCAL,commerce,2026-09-13T17:22:31.160054,2026-09-13T17:22:31.160054
REQ-1040,Return Merchandise Authorisation,"The Returns Management Service shall authorise returns within the return window, issue a return label and trigger the refund when the return is approved.",Fulfilment,HIGH,APPROVED,CMP-035,"[""CMP-035"", ""CMP-007"", ""CMP-016""]","[""Returns Management"", ""Return Refunds""]",LOCAL,commerce,2026-09-13T17:22:31.160055,2026-09-13T17:22:31.160055
L2R1420,Overspeed warning before enforcement,"When the train speed exceeds the authorised speed by more than TBC003 mph, the on-board segment shall display an overspeed warning and shall initiate a penalty brake application if the speed is not reduced within TBC008 seconds.",Braking,CRITICAL,APPROVED,RCMP-011,"[""RCMP-011"", ""RCMP-019"", ""RCMP-005""]","[""Speed Enforcement"", ""Overspeed Warning""]",LOCAL,rail,2026-09-13T17:22:31.160056,2026-09-13T17:22:31.160056
L2R1455,Consist data validation at initialisation,The on-board segment shall reject consist data with a missing or zero train length or weight and shall prompt the crew to re-enter the consist before initialisation completes.,Onboard,HIGH,APPROVED,RCMP-012,"[""RCMP-012"", ""RCMP-009"", ""RCMP-001""]","[""Consist Data"", ""Consist Validation""]",LOCAL,rail,2026-09-13T17:22:31.160057,2026-09-13T17:22:31.160057
L2R1510,Event recorder logging of enforcement,"The on-board segment shall record every warning, penalty brake application and crew acknowledgement in the event recorder within TBC002 seconds, including speed, position and time.",Onboard,HIGH,APPROVED,RCMP-013,"[""RCMP-013"", ""RCMP-001"", ""RCMP-011""]","[""Event Recording""]",LOCAL,rail,2026-09-13T17:22:31.160057,2026-09-13T17:22:31.160058
L2R1562,Temporary speed restriction enforcement,"The on-board segment shall enforce temporary speed restrictions received from the back office only on the track and milepost limits named in the bulletin, including restrictions with a start and end time.",Navigation,CRITICAL,APPROVED,RCMP-014,"[""RCMP-014"", ""RCMP-001"", ""RCMP-009""]","[""Speed Restrictions"", ""Bulletins""]",LOCAL,rail,2026-09-13T17:22:31.160058,2026-09-13T17:22:31.160059
L2R1608,Signal aspect decoding,The on-board segment shall decode each wayside signal aspect code using the configured aspect table and shall treat an unknown code as the most restrictive aspect.,Communications,CRITICAL,APPROVED,RCMP-015,"[""RCMP-015"", ""RCMP-017"", ""RCMP-001""]","[""Signal Aspects""]",LOCAL,rail,2026-09-13T17:22:31.160059,2026-09-13T17:22:31.160059
L2R1644,Onboard power-on self-test,"At power-on the on-board segment shall test the GPS antenna, radio, brake interface and display and shall report any failed item to the crew before initialisation.",Onboard,HIGH,APPROVED,RCMP-016,"[""RCMP-016"", ""RCMP-001"", ""RCMP-005""]","[""Health Monitoring"", ""Self Test""]",LOCAL,rail,2026-09-13T17:22:31.160060,2026-09-13T17:22:31.160060
L2R1703,Radio link loss annunciation,"When no valid data message is received over the radio link for TBC045 seconds, the on-board segment shall annunciate radio link loss to the crew.",Communications,HIGH,APPROVED,RCMP-017,"[""RCMP-017"", ""RCMP-008"", ""RCMP-001""]","[""Radio Link"", ""Communication Loss""]",LOCAL,rail,2026-09-13T17:22:31.160061,2026-09-13T17:22:31.160061
L2R1750,Crew login validation,The on-board segment shall accept a crew login only with a non-blank employee ID that is present in the crew list distributed by the back office.,Crew Interface,MEDIUM,APPROVED,RCMP-018,"[""RCMP-018"", ""RCMP-005"", ""RCMP-009""]","[""Crew Login""]",LOCAL,rail,2026-09-13T17:22:31.160061,2026-09-13T17:22:31.160062
L2R1811,Braking curve target calculation,The on-board segment shall calculate the braking curve target from the entered consist length and weight and shall not use default consist values once the crew has entered them.,Braking,CRITICAL,APPROVED,RCMP-019,"[""RCMP-019"", ""RCMP-012"", ""RCMP-011""]","[""Braking Curve"", ""Speed Enforcement""]",LOCAL,rail,2026-09-13T17:22:31.160062,2026-09-13T17:22:31.160062
L2R1866,Onboard configuration file checksum,The on-board segment shall verify the checksum of every configuration file at load and shall enter the FAILED state if any checksum does not match.,Onboard,HIGH,APPROVED,RCMP-020,"[""RCMP-020"", ""RCMP-001"", ""RCMP-009""]","[""Configuration Files"", ""Checksum Validation""]",LOCAL,rail,2026-09-13T17:22:31.160063,2026-09-13T17:22:31.160063
L2R26,Departure test result reporting,"The on-board segment shall report a departure test result only for a departure test that was actually performed, and shall not report a previously passed departure test as Failed when the locomotive system state is commanded to Non-controlling (1010) at the Begin Departure Test prompt. (Sample wording based on the ECR; replace with the approved requirement text.)",Onboard,HIGH,APPROVED,RCMP-002,"[""RCMP-002"", ""RCMP-005"", ""RCMP-009""]","[""Departure Test"", ""Test Results""]",EXPORT,rail,2026-09-17T06:45:00.929748,2026-09-17T06:45:00.929750
L2R35,Departure test prompt handling on a state change,"When the Begin Departure Test prompt is displayed and the on-board segment is commanded to Non-controlling, the on-board segment shall remove the prompt without recording a departure test result, and shall allow the departure test to be begun again during initialisation. (Sample wording based on the ECR; replace with the approved requirement text.)",Onboard,HIGH,APPROVED,RCMP-002,"[""RCMP-002"", ""RCMP-001"", ""RCMP-003""]","[""Departure Test"", ""Onboard State""]",EXPORT,rail,2026-09-17T06:45:00.929751,2026-09-17T06:45:00.929751
L2R01,Brake/Horn interface screen status fields,"The on-board segment shall display the current Horn state on the Brake/Horn interface screen of the OB diagnostic screen, showing Active while the Horn key is pressed and Inactive otherwise. (Sample wording based on the ECR; replace with the approved requirement text.)",Braking,MEDIUM,APPROVED,RCMP-003,"[""RCMP-003"", ""RCMP-005""]","[""Brake Status"", ""Horn Interface""]",EXPORT,rail,2026-09-17T06:45:00.929752,2026-09-17T06:45:00.929752
L2R05,Horn state across control types and diagnostic screens,"The on-board segment shall update the Horn state consistently for every supported control type, including SR-FLRT3-DMU and SR-KSS_EMU, on the Brake/Horn interface, EBI Slot 6 - EBI Onboard Diagnostics and System Test - Brakes screens. (Sample wording based on the ECR; replace with the approved requirement text.)",Braking,MEDIUM,APPROVED,RCMP-003,"[""RCMP-003"", ""RCMP-005"", ""RCMP-004""]","[""Horn Interface"", ""Control Types""]",EXPORT,rail,2026-09-17T06:45:00.929752,2026-09-17T06:45:00.929753
