workflow_id,ecr_id,confidence,total_tests,selected_tests,reduction_percentage,execution_time,approval_status,report_json,created_at
WF-7f75afae9fa3,ECR-2,0.9,80,46,42.5,19.67,NOT_REQUIRED,reports/WF-7f75afae9fa3.json,2026-09-17T09:46:38.417343
WF-487814579fbd,ECR-1,0.882,80,46,42.5,19.69,NOT_REQUIRED,reports/WF-487814579fbd.json,2026-09-17T09:53:35.311122
WF-1a6c93fac5b0,ECR-2,0.856,80,7,91.2,17.48,NOT_REQUIRED,reports/WF-1a6c93fac5b0.json,2026-09-17T10:25:11.430625
WF-3541aca2ab0e,ECR-2026-007,0.896,170,8,95.3,24.75,NOT_REQUIRED,reports/WF-3541aca2ab0e.json,2026-09-17T10:56:24.959983
WF-e01ad0ba79c6,ECR-1,0.811,80,5,93.8,7.85,NOT_REQUIRED,reports/WF-e01ad0ba79c6.json,2026-09-18T01:11:09.601397
WF-96a3f72d9bf1,ECR-2,0.811,80,7,91.2,7.16,NOT_REQUIRED,reports/WF-96a3f72d9bf1.json,2026-09-18T01:12:11.300553
WF-f8dec683b44e,ECR-1,0.811,80,5,93.8,3.59,NOT_REQUIRED,reports/WF-f8dec683b44e.json,2026-09-18T06:03:46.959792
WF-3d32e1a85183,ECR-1,0.811,80,5,93.8,6.22,NOT_REQUIRED,reports/WF-3d32e1a85183.json,2026-09-21T07:37:30.608197
WF-6c7b48f32609,ECR-2026-002,0.882,170,7,95.9,7.45,NOT_REQUIRED,reports/WF-6c7b48f32609.json,2026-09-21T09:39:36.954993
WF-2337f1cbd544,ECR-2,0.811,80,7,91.2,20.04,NOT_REQUIRED,reports/WF-2337f1cbd544.json,2026-09-21T09:43:10.532357
WF-ac8eb44e3ea5,ECR-1,0.811,80,5,93.8,12.63,NOT_REQUIRED,reports/WF-ac8eb44e3ea5.json,2026-09-21T09:46:37.076168
WF-a05c16937757,ECR-2,0.811,80,7,91.2,5.5,NOT_REQUIRED,reports/WF-a05c16937757.json,2026-09-21T09:47:23.879342
WF-2112b01083ef,ECR-1,0.811,80,5,93.8,6.37,NOT_REQUIRED,reports/WF-2112b01083ef.json,2026-09-21T09:54:33.781083
WF-ac6a5caa5e51,ECR-2,0.811,80,7,91.2,6.36,NOT_REQUIRED,reports/WF-ac6a5caa5e51.json,2026-09-21T09:57:06.398056
WF-57fe54ddaeb3,ECR-1,0.811,80,5,93.8,22.31,NOT_REQUIRED,reports/WF-57fe54ddaeb3.json,2026-09-21T09:58:58.324860
WF-fb3478898aa9,ECR-1,0.811,80,5,93.8,6.89,NOT_REQUIRED,reports/WF-fb3478898aa9.json,2026-09-21T10:03:45.051640
WF-dda4567f03fa,ECR-2,0.811,80,7,91.2,7.35,NOT_REQUIRED,reports/WF-dda4567f03fa.json,2026-09-21T10:04:44.278382
WF-80024b2d04e0,ECR-2026-037,0.894,80,1,98.8,12.5,NOT_REQUIRED,reports/WF-80024b2d04e0.json,2026-09-21T10:17:56.779961
WF-21d1e51a373c,ECR-1,0.856,80,5,93.8,24.08,NOT_REQUIRED,reports/WF-21d1e51a373c.json,2026-09-21T10:19:52.335874
WF-9e14dacfb900,ECR-1,0.856,80,5,93.8,22.68,NOT_REQUIRED,reports/WF-9e14dacfb900.json,2026-09-22T09:53:50.558436
WF-035561223f02,ECR-1,0.856,80,5,93.8,16.23,NOT_REQUIRED,reports/WF-035561223f02.json,2026-09-22T10:10:35.491686
WF-c70731308f6e,ECR-1,0.856,80,5,93.8,29.5,APPROVED,reports/WF-c70731308f6e.json,2026-09-22T10:45:41.707798
WF-7cf6d24a63b3,ECR-2,0.856,80,7,91.2,50.44,NOT_REQUIRED,reports/WF-7cf6d24a63b3.json,2026-09-22T11:33:58.613005
WF-9a3eb1a790a3,ECR-1,0.856,80,5,93.8,28.19,NOT_REQUIRED,reports/WF-9a3eb1a790a3.json,2026-09-22T11:35:22.611809
