defect_id,title,description,severity,status,root_cause,root_cause_category,affected_component,related_components,linked_requirements,escaped_to_production,reopen_count,detected_at,severity_weight,created_at,updated_at
BUG-188,Checkout hung when payment service was slow,No timeout on the payment call left checkout threads blocked.,HIGH,CLOSED,Missing client timeout and circuit breaker.,Resilience gap,CMP-006,"[""CMP-003"", ""CMP-002""]","[""REQ-1010""]",true,0,2026-03-07T12:45:40.351164,0.75,2026-09-13T12:45:40.354763,2026-09-13T16:26:18.326109
BUG-193,Order total mismatch versus authorised amount,Discount applied after authorisation caused capture failures.,HIGH,CLOSED,Total recalculated after the authorisation request was built.,Ordering of operations,CMP-006,"[""CMP-003""]","[""REQ-1011"", ""REQ-1001""]",false,1,2026-05-06T12:45:40.351164,0.75,2026-09-13T12:45:40.354764,2026-09-13T16:26:18.326109
BUG-205,Partial refund exceeded remaining refundable amount,Concurrent partial refunds each read a stale refunded total.,CRITICAL,CLOSED,No row-level lock on the refund aggregate.,Concurrency,CMP-007,"[""CMP-008""]","[""REQ-1013""]",true,1,2026-07-30T12:45:40.351164,1.0,2026-09-13T12:45:40.354765,2026-09-13T16:26:18.326110
BUG-210,Refund notification sent before refund settled,Customers were told money was returned while the refund still failed.,MEDIUM,CLOSED,Event published before the settlement callback.,Event ordering,CMP-011,"[""CMP-007""]","[""REQ-1019""]",true,0,2026-04-11T12:45:40.351164,0.45,2026-09-13T12:45:40.354766,2026-09-13T16:26:18.326110
BUG-214,Invoice numbering gap after failed transaction,"A rolled-back invoice consumed a sequence number, creating an audit gap.",MEDIUM,CLOSED,Sequence allocated inside the transaction that rolled back.,Transaction boundary,CMP-012,"[""CMP-008""]","[""REQ-1015""]",false,0,2026-02-05T12:45:40.351164,0.45,2026-09-13T12:45:40.354768,2026-09-13T16:26:18.326111
BUG-221,Invoice amount formatted with wrong currency symbol,Multi-currency invoices always rendered the merchant's home symbol.,LOW,CLOSED,Formatter defaulted to the locale currency.,Localisation,CMP-012,"[""CMP-005""]","[""REQ-1015"", ""REQ-1004""]",true,0,2025-12-17T12:45:40.351164,0.2,2026-09-13T12:45:40.354769,2026-09-13T16:26:18.326111
BUG-228,MFA challenge skipped for remembered devices after token refresh,"A refreshed token reset the device trust flag, skipping step-up auth.",CRITICAL,CLOSED,Device trust claim not propagated into refreshed tokens.,Authentication claim propagation,CMP-010,"[""CMP-009"", ""CMP-002""]","[""REQ-1017"", ""REQ-1018""]",true,1,2026-06-05T12:45:40.351164,1.0,2026-09-13T12:45:40.354770,2026-09-13T16:26:18.326112
BUG-233,Session not revoked on password change,Old access tokens stayed valid for 30 minutes after a reset.,HIGH,CLOSED,Revocation list not consulted by the gateway.,Token revocation,CMP-010,"[""CMP-002""]","[""REQ-1018""]",true,0,2026-03-22T12:45:40.351164,0.75,2026-09-13T12:45:40.354771,2026-09-13T16:26:18.326112
BUG-240,Profile page save button silently failed,Validation errors from the user service were not surfaced in the UI.,LOW,CLOSED,Error response body ignored by the portal form handler.,UI error handling,CMP-001,"[""CMP-009""]","[""REQ-1016""]",true,0,2026-07-20T12:45:40.351164,0.2,2026-09-13T12:45:40.354772,2026-09-13T16:26:18.326112
BUG-244,Profile address update lost the default flag,Editing an address cleared the default-shipping marker.,LOW,CLOSED,Partial update overwrote the whole address document.,Partial update semantics,CMP-009,"[""CMP-001""]","[""REQ-1016""]",false,0,2025-11-07T12:45:40.351164,0.2,2026-09-13T12:45:40.354773,2026-09-13T16:26:18.326113
BUG-250,Gateway returned 502 during auth service deployment,"Token introspection had no retry, so all traffic failed during rollout.",HIGH,CLOSED,No retry/backoff on introspection calls.,Resilience gap,CMP-002,"[""CMP-010""]","[""REQ-1018""]",true,0,2026-02-20T12:45:40.351164,0.75,2026-09-13T12:45:40.354774,2026-09-13T16:26:18.326113
BUG-256,Email template rendered raw placeholders,A template variable rename left {{order_id}} visible to customers.,LOW,CLOSED,Template and payload changed in separate releases.,Template/payload drift,CMP-011,"[""CMP-006""]","[""REQ-1019""]",true,1,2026-08-04T12:45:40.351164,0.2,2026-09-13T12:45:40.354776,2026-09-13T16:26:18.326114
BUG-262,Notification retries duplicated order confirmation emails,At-least-once delivery without deduplication sent up to five copies.,MEDIUM,CLOSED,No dedup key on the notification consumer.,Idempotency gap,CMP-011,"[""CMP-006""]","[""REQ-1019""]",true,0,2025-12-27T12:45:40.351164,0.45,2026-09-13T12:45:40.354777,2026-09-13T16:26:18.326114
BUG-268,Cancellation left stock reserved,Cancelling after authorisation released payment but not inventory.,MEDIUM,CLOSED,Compensating action missing in the cancellation saga.,Saga compensation,CMP-006,"[""CMP-007""]","[""REQ-1012""]",false,0,2026-05-21T12:45:40.351164,0.45,2026-09-13T12:45:40.354778,2026-09-13T16:26:18.326114
BUG-275,Authorisation succeeded but transaction row was never written,A database failover during capture lost the write while funds moved.,CRITICAL,CLOSED,No outbox pattern between acquirer call and persistence.,Dual-write inconsistency,CMP-003,"[""CMP-008"", ""CMP-015""]","[""REQ-1001"", ""REQ-1009""]",true,2,2026-07-05T12:45:40.351164,1.0,2026-09-13T12:45:40.354779,2026-09-13T16:26:18.326115
BUG-281,"Validator rejected valid amounts above 10,000",A hard-coded ceiling blocked legitimate high-value B2B payments.,HIGH,CLOSED,Business limit hard-coded instead of merchant configuration.,Hard-coded business rule,CMP-004,"[""CMP-003""]","[""REQ-1002""]",true,0,2026-04-16T12:45:40.351164,0.75,2026-09-13T12:45:40.354780,2026-09-13T16:26:18.326115
BUG-288,Fraud service latency spike blocked checkout,A vendor slowdown propagated straight into the checkout path.,HIGH,CLOSED,Synchronous screening without a fail-open policy.,Resilience gap,CMP-014,"[""CMP-003"", ""CMP-006""]","[""REQ-1007"", ""REQ-1010""]",true,0,2026-08-14T12:45:40.351164,0.75,2026-09-13T12:45:40.354784,2026-09-13T16:26:18.326116
BUG-294,Ledger reconciliation job double-counted refunds,Refund reversal rows were summed twice in the daily report.,MEDIUM,CLOSED,Join fan-out on the refund reversal table.,Query correctness,CMP-015,"[""CMP-013"", ""CMP-008""]","[""REQ-1008"", ""REQ-1020""]",false,0,2026-01-16T12:45:40.351164,0.45,2026-09-13T12:45:40.354786,2026-09-13T16:26:18.326116
BUG-301,Currency service returned rates with wrong precision,Rates truncated to 4 decimals caused cent-level settlement drift.,MEDIUM,CLOSED,Float rounding in the rate serialiser.,Floating point precision,CMP-005,"[""CMP-015"", ""CMP-012""]","[""REQ-1005"", ""REQ-1008""]",true,1,2026-06-20T12:45:40.351164,0.45,2026-09-13T12:45:40.354787,2026-09-13T16:26:18.326117
BUG-309,Portal checkout button double-submitted the order,Rapid clicks created two orders before the button disabled.,MEDIUM,CLOSED,No submit lock in the checkout component.,UI state handling,CMP-001,"[""CMP-006"", ""CMP-003""]","[""REQ-1010"", ""REQ-1006""]",true,0,2026-03-17T12:45:40.351164,0.45,2026-09-13T12:45:40.354788,2026-09-13T16:26:18.326117
PTC-4101,Depart Test key missing while onboard is in CUT OUT state,The Depart Test key was not offered on Menu 1 when the onboard segment was in the CUT OUT state even though all other preconditions of L2R367 were satisfied.,CRITICAL,CLOSED,Key availability check enumerated ACTIVE and DISENGAGED only.,Incomplete state enumeration,RCMP-002,"[""RCMP-005"", ""RCMP-001""]","[""L2R367"", ""L2R615""]",true,1,2026-05-06T12:45:40.351164,1.0,2026-09-13T12:45:40.354789,2026-09-13T16:26:18.326118
PTC-4188,Brake pipe pressure prompt shown with a valid feed valve status,"The TBC246 psi prompt was displayed even though a valid feed valve setting status had been received, blocking the departure test.",HIGH,CLOSED,Feed valve validity flag evaluated before the status message was latched.,Ordering of operations,RCMP-003,"[""RCMP-002""]","[""L2R1234"", ""L2R412""]",true,2,2026-07-05T12:45:40.351164,0.75,2026-09-13T12:45:40.354790,2026-09-13T16:26:18.326118
PTC-4205,Cut out switch transition annunciated late,Crew annunciation of a Cut Out transition exceeded the TBC005 second budget.,HIGH,CLOSED,Discrete polling interval longer than the annunciation budget.,Timing budget,RCMP-004,"[""RCMP-010"", ""RCMP-005""]","[""L2R508""]",false,0,2026-03-02T12:45:40.351164,0.75,2026-09-13T12:45:40.354791,2026-09-13T16:26:18.326119
PTC-4260,Departure test result not recorded for the back office,A passed departure test was shown to the crew but never uploaded.,MEDIUM,CLOSED,Result record written after the session closed.,Transaction boundary,RCMP-009,"[""RCMP-002""]","[""L2R720""]",true,0,2026-01-16T12:45:40.351164,0.45,2026-09-13T12:45:40.354792,2026-09-13T16:26:18.326121
PTC-4312,Position declared determined with excessive uncertainty,Position determined was declared while uncertainty exceeded TBC030 feet.,CRITICAL,CLOSED,Uncertainty compared against the wrong configuration parameter.,Configuration parameter mix-up,RCMP-007,"[""RCMP-006"", ""RCMP-001""]","[""L2R845""]",true,1,2026-05-26T12:45:40.351164,1.0,2026-09-13T12:45:40.354793,2026-09-13T16:26:18.326121
PTC-4377,Track database version mismatch did not force DISENGAGED,The onboard stayed ACTIVE with a stale track database version.,CRITICAL,CLOSED,Version comparison ignored the minor revision field.,Incomplete validation rule,RCMP-006,"[""RCMP-009"", ""RCMP-001""]","[""L2R910""]",true,0,2026-04-06T12:45:40.351164,1.0,2026-09-13T12:45:40.354794,2026-09-13T16:26:18.326122
PTC-4420,Stale WIU status treated as current,A WIU status message older than TBC060 seconds was used for enforcement.,HIGH,CLOSED,"Message timestamp compared against receipt time, not train time.",Time base mismatch,RCMP-008,"[""RCMP-001""]","[""L2R1102""]",true,1,2026-07-25T12:45:40.351164,0.75,2026-09-13T12:45:40.354796,2026-09-13T16:26:18.326122
PTC-4455,Menu 1 soft keys reordered after a display reset,Key order differed from the defined layout following an HMI restart.,LOW,CLOSED,Menu built from an unordered map after reset.,UI state handling,RCMP-005,"[""RCMP-002""]","[""L2R1350"", ""L2R367""]",false,0,2025-11-17T12:45:40.351164,0.2,2026-09-13T12:45:40.354797,2026-09-13T16:26:18.326122
BUG-401,Stock oversold during flash sale,Two customers were charged for the last unit during a flash sale; one order had to be cancelled.,CRITICAL,CLOSED,Reservation used read-modify-write without a row lock.,Race condition,CMP-016,"[""CMP-006""]","[""REQ-1021""]",true,1,2026-07-30T17:22:31.105882,1.0,2026-09-13T17:22:31.174831,2026-09-13T17:22:31.174833
BUG-402,Shipping label generated for the wrong carrier service,Next-day orders were labelled for the standard service because the new service code had no carrier mapping.,MEDIUM,CLOSED,Carrier mapping table not updated for new service codes.,Configuration drift,CMP-017,"[""CMP-006""]","[""REQ-1022""]",false,0,2026-05-16T17:22:31.105882,0.45,2026-09-13T17:22:31.174834,2026-09-13T17:22:31.174834
BUG-403,Catalog showed in-stock items as unavailable,Product pages showed 'Out of stock' for up to 10 minutes after stock was replenished.,HIGH,CLOSED,Availability cache lived longer than the inventory update interval.,Stale cache,CMP-018,"[""CMP-016"", ""CMP-001""]","[""REQ-1023""]",true,0,2026-06-25T17:22:31.105882,0.75,2026-09-13T17:22:31.174834,2026-09-13T17:22:31.174835
BUG-404,Coupon applied twice on a retried checkout,A checkout retried after a timeout redeemed the same coupon twice on one order.,HIGH,CLOSED,Promotion redemption was not idempotent per order.,Idempotency gap,CMP-019,"[""CMP-006"", ""CMP-003""]","[""REQ-1024"", ""REQ-1010""]",true,1,2026-07-15T17:22:31.105882,0.75,2026-09-13T17:22:31.174835,2026-09-13T17:22:31.174836
BUG-405,Loyalty points kept after order cancellation,"Points stayed on the account after the order was cancelled, letting customers redeem unearned rewards.",MEDIUM,CLOSED,The loyalty service did not consume order cancellation events.,Missing event handling,CMP-020,"[""CMP-006""]","[""REQ-1025"", ""REQ-1012""]",true,0,2026-04-16T17:22:31.105882,0.45,2026-09-13T17:22:31.174836,2026-09-13T17:22:31.174836
BUG-406,Subscription renewal charged in the wrong currency,EUR plans renewed in USD for customers whose account default currency was USD.,HIGH,CLOSED,Renewal used the account default currency instead of the plan currency.,Missing validation,CMP-021,"[""CMP-003"", ""CMP-005""]","[""REQ-1026"", ""REQ-1004""]",true,1,2026-06-10T17:22:31.105882,0.75,2026-09-13T17:22:31.174837,2026-09-13T17:22:31.174837
BUG-407,Wallet balance went negative under concurrent spends,Two parallel spends passed the balance check at the same time and left the wallet at -40 EUR.,CRITICAL,CLOSED,Balance check and debit ran in separate transactions.,Race condition,CMP-022,"[""CMP-015""]","[""REQ-1027""]",true,2,2026-08-14T17:22:31.105882,1.0,2026-09-13T17:22:31.174837,2026-09-13T17:22:31.174838
BUG-408,Chargeback reversal posted twice to the ledger,A scheme webhook retried three times and the reversal was posted twice to the ledger.,HIGH,CLOSED,Webhook retries were not de-duplicated.,Idempotency gap,CMP-023,"[""CMP-015"", ""CMP-007""]","[""REQ-1028"", ""REQ-1008""]",true,0,2026-05-26T17:22:31.105882,0.75,2026-09-13T17:22:31.174838,2026-09-13T17:22:31.174838
BUG-409,Merchant payout released before KYC approval,A merchant whose KYC had been rejected received a payout because the job used a cached status.,CRITICAL,CLOSED,Payout job read a cached KYC status.,Stale cache,CMP-024,"[""CMP-026""]","[""REQ-1029"", ""REQ-1031""]",true,1,2026-07-05T17:22:31.105882,1.0,2026-09-13T17:22:31.174839,2026-09-13T17:22:31.174839
BUG-410,Tax rounded per line instead of per invoice,Invoices with many lines showed a total one cent higher than the order.,MEDIUM,CLOSED,Rounding applied at the wrong aggregation level.,Rounding error,CMP-025,"[""CMP-012"", ""CMP-006""]","[""REQ-1030"", ""REQ-1011""]",false,0,2026-02-25T17:22:31.105882,0.45,2026-09-13T17:22:31.174839,2026-09-13T17:22:31.174839
BUG-411,KYC accepted an expired identity document,A merchant was onboarded with a passport that had expired two months earlier.,HIGH,CLOSED,Document expiry date was not validated.,Missing validation,CMP-026,"[""CMP-024""]","[""REQ-1031""]",true,0,2026-04-26T17:22:31.105882,0.75,2026-09-13T17:22:31.174840,2026-09-13T17:22:31.174840
BUG-412,Marketing email sent after consent withdrawal,Customers kept receiving promotional emails for a day after withdrawing consent.,HIGH,CLOSED,Notification service read consent from a nightly snapshot.,Stale cache,CMP-027,"[""CMP-011"", ""CMP-009""]","[""REQ-1032"", ""REQ-1019""]",true,1,2026-07-20T17:22:31.105882,0.75,2026-09-13T17:22:31.174841,2026-09-13T17:22:31.174841
BUG-413,Audit trail missing MFA reset events,MFA resets performed by support agents did not appear in the audit trail.,MEDIUM,CLOSED,Event type was not whitelisted in the audit publisher.,Configuration drift,CMP-028,"[""CMP-010""]","[""REQ-1033"", ""REQ-1017""]",false,0,2026-03-27T17:22:31.105882,0.45,2026-09-13T17:22:31.174841,2026-09-13T17:22:31.174842
BUG-414,Search returned products from disabled categories,Search results included products from a category that had been disabled.,LOW,CLOSED,Index rebuild ignored the category status.,Incomplete validation rule,CMP-029,"[""CMP-018""]","[""REQ-1034""]",false,0,2025-12-27T17:22:31.105882,0.2,2026-09-13T17:22:31.174842,2026-09-13T17:22:31.174842
BUG-415,Mobile sessions not revoked on password change,Mobile app sessions stayed valid for hours after the customer changed their password.,CRITICAL,CLOSED,Mobile backend cached tokens beyond the revocation list.,Stale cache,CMP-030,"[""CMP-010"", ""CMP-002""]","[""REQ-1035"", ""REQ-1018""]",true,0,2026-08-04T17:22:31.105882,1.0,2026-09-13T17:22:31.174843,2026-09-13T17:22:31.174843
BUG-416,Payment events published out of order,Ledger consumers received captures before authorisations for the same payment.,HIGH,CLOSED,Partition key used merchant id instead of transaction id.,Ordering of operations,CMP-031,"[""CMP-003"", ""CMP-015""]","[""REQ-1036"", ""REQ-1008""]",true,1,2026-06-20T17:22:31.105882,0.75,2026-09-13T17:22:31.174843,2026-09-13T17:22:31.174844
BUG-417,Support portal refund above the captured amount,An agent refunded more than the captured amount because the portal skipped refund validation.,HIGH,CLOSED,Portal called the refund store directly and bypassed the shared validation.,Missing validation,CMP-032,"[""CMP-007""]","[""REQ-1037"", ""REQ-1013""]",true,0,2026-06-05T17:22:31.105882,0.75,2026-09-13T17:22:31.174844,2026-09-13T17:22:31.174844
BUG-418,Nightly finance extract double counted refunds,"The nightly extract counted refund reversals twice, overstating refunds in the finance dashboard.",MEDIUM,CLOSED,Join on refunds duplicated reversal rows.,Query logic error,CMP-033,"[""CMP-008"", ""CMP-013""]","[""REQ-1038"", ""REQ-1020""]",false,0,2026-05-06T17:22:31.105882,0.45,2026-09-13T17:22:31.174845,2026-09-13T17:22:31.174845
BUG-419,Gift card redeemed after expiry,Gift cards could be redeemed for several hours after expiry for customers in later timezones.,MEDIUM,CLOSED,Expiry was compared without the card's timezone.,Time base mismatch,CMP-034,"[""CMP-022""]","[""REQ-1039""]",true,0,2026-02-15T17:22:31.105882,0.45,2026-09-13T17:22:31.174845,2026-09-13T17:22:31.174846
BUG-420,Approved return did not trigger a refund,"Approved returns did not trigger refunds, and customers had to chase support for their money.",HIGH,CLOSED,RMA status change did not publish the refund event.,Missing event handling,CMP-035,"[""CMP-007"", ""CMP-016""]","[""REQ-1040"", ""REQ-1013""]",true,1,2026-07-10T17:22:31.105882,0.75,2026-09-13T17:22:31.174846,2026-09-13T17:22:31.174846
BUG-421,Checkout failed when the inventory service timed out,"Checkout returned HTTP 500 when the Inventory Service was slow, instead of failing gracefully.",HIGH,OPEN,No timeout or fallback on the stock reservation call.,Missing timeout,CMP-006,"[""CMP-016""]","[""REQ-1021"", ""REQ-1010""]",true,0,2026-08-19T17:22:31.105882,0.75,2026-09-13T17:22:31.174847,2026-09-13T17:22:31.174847
BUG-422,Wallet top-up message sent before capture,Customers received a 'top-up successful' message even when the card payment later failed capture.,LOW,IN_PROGRESS,Notification was triggered on authorisation instead of capture.,Ordering of operations,CMP-011,"[""CMP-022""]","[""REQ-1027"", ""REQ-1019""]",false,0,2026-08-29T17:22:31.105882,0.2,2026-09-13T17:22:31.174847,2026-09-13T17:22:31.174848
PTC-4501,Overspeed warning displayed after enforcement started,The overspeed warning appeared after the penalty brake application had already started.,CRITICAL,CLOSED,Warning timer started from the enforcement threshold instead of the warning threshold.,Timing budget,RCMP-011,"[""RCMP-019"", ""RCMP-005""]","[""L2R1420""]",true,1,2026-06-15T17:22:31.105882,1.0,2026-09-13T17:22:31.174848,2026-09-13T17:22:31.174848
PTC-4502,Consist length ignored in the braking curve,The braking curve used a default train length when the crew left the optional length field blank.,CRITICAL,CLOSED,Default consist length used when the field was optional.,Missing validation,RCMP-019,"[""RCMP-012""]","[""L2R1811"", ""L2R1455""]",true,0,2026-04-16T17:22:31.105882,1.0,2026-09-13T17:22:31.174849,2026-09-13T17:22:31.174849
PTC-4503,Event recorder lost records on power cycle,Event recorder entries from the last 30 seconds were lost when power was removed.,HIGH,CLOSED,Buffer flushed only on a graceful shutdown.,Transaction boundary,RCMP-013,"[""RCMP-001""]","[""L2R1510""]",true,0,2026-02-15T17:22:31.105882,0.75,2026-09-13T17:22:31.174849,2026-09-13T17:22:31.174850
PTC-4504,Speed restriction applied to the wrong track,A restriction for track 02 was enforced on track 2 of a different line.,CRITICAL,CLOSED,Track number parsed as an integer and lost its leading zero.,Data parsing,RCMP-014,"[""RCMP-009"", ""RCMP-006""]","[""L2R1562""]",true,1,2026-07-15T17:22:31.105882,1.0,2026-09-13T17:22:31.174850,2026-09-13T17:22:31.174850
PTC-4505,Restrictive signal aspect decoded as clear,A restrictive aspect code was decoded as clear after a firmware update shifted the aspect table.,CRITICAL,OPEN,Aspect code table off by one after the firmware update.,Configuration parameter mix-up,RCMP-015,"[""RCMP-017""]","[""L2R1608""]",false,0,2026-08-09T17:22:31.105882,1.0,2026-09-13T17:22:31.174850,2026-09-13T17:22:31.174851
PTC-4506,Self-test passed with a failed GPS antenna,The self-test passed although the GPS antenna cable was disconnected.,HIGH,CLOSED,Antenna check reported a cached result.,Stale cache,RCMP-016,"[""RCMP-007""]","[""L2R1644""]",true,0,2026-05-16T17:22:31.105882,0.75,2026-09-13T17:22:31.174851,2026-09-13T17:22:31.174851
PTC-4507,Radio link loss not annunciated to the crew,Loss of the radio link was not shown to the crew because empty keep-alive frames reset the timer.,HIGH,CLOSED,Loss timer reset by keep-alive frames with no payload.,Timing budget,RCMP-017,"[""RCMP-005"", ""RCMP-008""]","[""L2R1703""]",true,2,2026-06-30T17:22:31.105882,0.75,2026-09-13T17:22:31.174852,2026-09-13T17:22:31.174852
PTC-4508,Crew login accepted a blank employee ID,Crew login succeeded with an empty employee ID field.,MEDIUM,CLOSED,Empty string passed the length check.,Incomplete validation rule,RCMP-018,"[""RCMP-005""]","[""L2R1750""]",false,0,2026-03-17T17:22:31.105882,0.45,2026-09-13T17:22:31.174852,2026-09-13T17:22:31.174853
