component_id,name,type,business_criticality,criticality_score,owner,repository,description,business_domain,domain,created_at,updated_at
RCMP-003,Brake System Interface,INTERFACE,CRITICAL,1.0,Locomotive Systems,sample-repo/brake,"Feed valve setting, brake pipe pressure and air brake cut-in status.",Braking,rail,2026-09-13T12:45:40.313195,2026-09-13T12:45:40.313195
RCMP-004,Locomotive Interface Gateway,GATEWAY,HIGH,0.8,Locomotive Systems,sample-repo/lig,Discrete and serial locomotive I/O including the penalty brake cut out switch.,Onboard,rail,2026-09-13T12:45:40.313196,2026-09-13T12:45:40.313196
RCMP-005,Crew Display HMI,UI,HIGH,0.8,Human Factors,sample-repo/hmi,"Menu pages, soft keys, prompts and crew acknowledgements.",Crew Interface,rail,2026-09-13T12:45:40.313197,2026-09-13T12:45:40.313197
RCMP-006,Track Database Manager,SERVICE,CRITICAL,1.0,Onboard Software,sample-repo/tdb,"Track database load, version validation and subdivision lookup.",Navigation,rail,2026-09-13T12:45:40.313198,2026-09-13T12:45:40.313199
RCMP-007,Position Determination System,SERVICE,CRITICAL,1.0,Onboard Software,sample-repo/pds,"GPS, tachometer and track profile fusion for train position.",Navigation,rail,2026-09-13T12:45:40.313199,2026-09-13T12:45:40.313200
RCMP-008,Wayside Messaging,SERVICE,HIGH,0.8,Communications,sample-repo/wayside,WIU status messages over the 220 MHz data radio.,Communications,rail,2026-09-13T12:45:40.313200,2026-09-13T12:45:40.313201
RCMP-009,Back Office Interface,INTERFACE,HIGH,0.8,Communications,sample-repo/bos,"Initialisation, consist data and track database distribution from the BOS.",Communications,rail,2026-09-13T12:45:40.313202,2026-09-13T12:45:40.313202
RCMP-010,Penalty Brake Enforcement,MODULE,CRITICAL,1.0,Onboard Software,sample-repo/onboard,Warning and penalty brake application including cut out handling.,Braking,rail,2026-09-13T12:45:40.313203,2026-09-13T12:45:40.313203
CMP-016,Inventory Service,SERVICE,HIGH,0.8,Commerce Engineering,sample-repo/inventory,"Stock levels, reservations and release on cancellation.",Orders,commerce,2026-09-13T17:22:31.153732,2026-09-13T17:22:31.153735
CMP-017,Shipping Service,SERVICE,HIGH,0.8,Fulfilment Engineering,sample-repo/shipping,"Shipment creation, carrier selection and label generation.",Fulfilment,commerce,2026-09-13T17:22:31.153736,2026-09-13T17:22:31.153737
CMP-018,Product Catalog Service,SERVICE,MEDIUM,0.5,Commerce Engineering,sample-repo/catalog,"Products, prices and availability shown in the storefront.",Catalog,commerce,2026-09-13T17:22:31.153738,2026-09-13T17:22:31.153738
CMP-019,Promotion Engine,MODULE,HIGH,0.8,Commerce Engineering,sample-repo/promotion,"Coupons, discounts and per-order promotion limits.",Orders,commerce,2026-09-13T17:22:31.153738,2026-09-13T17:22:31.153739
CMP-020,Loyalty Service,SERVICE,MEDIUM,0.5,Customer Engagement,sample-repo/loyalty,"Loyalty points accrual, tiers and redemption.",Engagement,commerce,2026-09-13T17:22:31.153739,2026-09-13T17:22:31.153740
CMP-021,Subscription Billing Service,SERVICE,HIGH,0.8,Finance Systems,sample-repo/subscription,"Recurring plans, renewals and retry scheduling.",Finance,commerce,2026-09-13T17:22:31.153740,2026-09-13T17:22:31.153740
CMP-022,Digital Wallet Service,SERVICE,CRITICAL,1.0,Payments Engineering,sample-repo/wallet,"Stored customer balance, top-ups and spends.",Payments,commerce,2026-09-13T17:22:31.153741,2026-09-13T17:22:31.153741
CMP-023,Chargeback Service,SERVICE,HIGH,0.8,Payments Engineering,sample-repo/chargeback,"Card scheme disputes, evidence submission and outcomes.",Payments,commerce,2026-09-13T17:22:31.153741,2026-09-13T17:22:31.153742
CMP-024,Merchant Payout Service,SERVICE,CRITICAL,1.0,Finance Systems,sample-repo/payout,Scheduling and releasing settlement funds to merchants.,Finance,commerce,2026-09-13T17:22:31.153742,2026-09-13T17:22:31.153742
CMP-025,Tax Calculation Service,SERVICE,HIGH,0.8,Finance Systems,sample-repo/tax_engine,"Jurisdiction tax rules, VAT and rounding for orders and invoices.",Finance,commerce,2026-09-13T17:22:31.153743,2026-09-13T17:22:31.153743
CMP-026,KYC Verification Service,SERVICE,CRITICAL,1.0,Risk Engineering,sample-repo/kyc,Merchant identity checks and document verification.,Risk,commerce,2026-09-13T17:22:31.153744,2026-09-13T17:22:31.153744
CMP-027,Consent Management Service,SERVICE,HIGH,0.8,Identity Engineering,sample-repo/consent,Customer marketing and privacy consent per channel.,Identity,commerce,2026-09-13T17:22:31.153744,2026-09-13T17:22:31.153745
CMP-028,Audit Trail Service,SERVICE,HIGH,0.8,Platform Engineering,sample-repo/audit,Tamper-evident record of security and admin events.,Security,commerce,2026-09-13T17:22:31.153745,2026-09-13T17:22:31.153745
CMP-029,Search Service,SERVICE,MEDIUM,0.5,Digital Experience,sample-repo/search,"Product search index, relevance and filters.",Catalog,commerce,2026-09-13T17:22:31.153746,2026-09-13T17:22:31.153746
CMP-030,Mobile App Backend,GATEWAY,HIGH,0.8,Digital Experience,sample-repo/mobile_bff,Backend-for-frontend serving the iOS and Android apps.,Customer Experience,commerce,2026-09-13T17:22:31.153746,2026-09-13T17:22:31.153747
CMP-031,Event Broker,INFRASTRUCTURE,CRITICAL,1.0,Platform Engineering,sample-repo/broker,Kafka cluster carrying payment and order events.,Platform,commerce,2026-09-13T17:22:31.153747,2026-09-13T17:22:31.153747
CMP-032,Customer Support Portal,UI,MEDIUM,0.5,Customer Operations,sample-repo/support,Agent console for order lookups and refunds.,Customer Experience,commerce,2026-09-13T17:22:31.153748,2026-09-13T17:22:31.153748
CMP-033,Finance Data Warehouse,DATABASE,MEDIUM,0.5,Data Platform,sample-repo/warehouse,Nightly finance extracts for analytics and audit.,Finance,commerce,2026-09-13T17:22:31.153749,2026-09-13T17:22:31.153749
CMP-034,Gift Card Service,SERVICE,MEDIUM,0.5,Payments Engineering,sample-repo/giftcard,"Gift card issuance, balance and redemption.",Payments,commerce,2026-09-13T17:22:31.153749,2026-09-13T17:22:31.153750
CMP-035,Returns Management Service,SERVICE,HIGH,0.8,Fulfilment Engineering,sample-repo/returns,"Return authorisations, labels and refund triggers.",Fulfilment,commerce,2026-09-13T17:22:31.153750,2026-09-13T17:22:31.153750
RCMP-011,Speed Enforcement Module,MODULE,CRITICAL,1.0,Onboard Software,sample-repo/onboard,Overspeed warning and enforcement against the authorised speed.,Braking,rail,2026-09-13T17:22:31.153751,2026-09-13T17:22:31.153751
RCMP-012,Consist Data Manager,SERVICE,HIGH,0.8,Onboard Software,sample-repo/consist,"Train length, weight and car count received at initialisation.",Onboard,rail,2026-09-13T17:22:31.153751,2026-09-13T17:22:31.153752
RCMP-013,Event Recorder,SERVICE,HIGH,0.8,Onboard Software,sample-repo/recorder,Crash-hardened log of enforcement and crew events.,Onboard,rail,2026-09-13T17:22:31.153752,2026-09-13T17:22:31.153752
RCMP-014,Speed Restriction Manager,SERVICE,CRITICAL,1.0,Onboard Software,sample-repo/tsr,Temporary speed restrictions and bulletins from the back office.,Navigation,rail,2026-09-13T17:22:31.153753,2026-09-13T17:22:31.153753
RCMP-015,Signal Aspect Processor,MODULE,CRITICAL,1.0,Onboard Software,sample-repo/signal,Decodes wayside signal aspects for enforcement.,Communications,rail,2026-09-13T17:22:31.153753,2026-09-13T17:22:31.153754
RCMP-016,Onboard Health Monitor,SERVICE,HIGH,0.8,Onboard Software,sample-repo/health,Power-on self-test and continuous health checks.,Onboard,rail,2026-09-13T17:22:31.153754,2026-09-13T17:22:31.153754
RCMP-017,Radio Link Manager,INTERFACE,HIGH,0.8,Communications,sample-repo/radio,220 MHz radio link supervision and loss detection.,Communications,rail,2026-09-13T17:22:31.153755,2026-09-13T17:22:31.153755
RCMP-018,Crew Login Module,MODULE,MEDIUM,0.5,Human Factors,sample-repo/hmi,"Crew sign-on, employee ID and badge validation.",Crew Interface,rail,2026-09-13T17:22:31.153756,2026-09-13T17:22:31.153756
RCMP-019,Braking Curve Calculator,MODULE,CRITICAL,1.0,Onboard Software,sample-repo/braking,Predictive braking distance and target speed curves.,Braking,rail,2026-09-13T17:22:31.153756,2026-09-13T17:22:31.153757
RCMP-020,Configuration Loader,SERVICE,HIGH,0.8,Onboard Software,sample-repo/config,Loads and checksums onboard configuration files.,Onboard,rail,2026-09-13T17:22:31.153757,2026-09-13T17:22:31.153757
