workflow_id,ecr_id,agent_name,agent_key,status,action,input,output,reasoning,confidence,execution_time,error,created_at
WF-814b4e899e4c,ECR-2026-001,Retrieval Agent,requirements,COMPLETED,Retrieving impacted requirements,{},"{""matched"": 10, ""searched"": 30, ""top"": [""REQ-1002"", ""REQ-1003"", ""REQ-1004"", ""REQ-1013"", ""REQ-1001""]}","Searched 30 requirements across traceability, semantic and keyword channels and matched 10. Strongest match is REQ-1002 (Payment Validation Rules Engine) at 100% relevance.",0.97,0.592,,2026-09-13T12:50:26.918686
WF-814b4e899e4c,ECR-2026-001,Retrieval Agent,code_impact,COMPLETED,Analysing code impact,{},"{""direct_files"": [""payment/validator.py"", ""payment/currency.py"", ""payment/service.py""], ""direct_components"": [""CMP-003"", ""CMP-004"", ""CMP-005""], ""indirect_components"": [""CMP-002"", ""CMP-006"", ""CMP-007"", ""CMP-012""], ""apis"": [""POST /auth/refresh"", ""POST /orders/checkout"", ""POST /payments"", ""POST /refunds"", ""POST /refunds/v2""]}","Parsed 18 modules (30 import edges) and resolved 3 changed module(s). Direct impact: CMP-003, CMP-004, CMP-005. 4 module(s) import the changed code, giving indirect impact on CMP-002, CMP-006, CMP-007, CMP-012.",0.95,0.0,,2026-09-13T12:50:26.946735
WF-814b4e899e4c,ECR-2026-001,Retrieval Agent,historical_defects,COMPLETED,Searching similar historical defects,{},"{""matched"": 10, ""searched"": 38, ""historical_risk_score"": 1.0, ""patterns"": []}","Searched 38 historical defects and found 10 related to this change (historical risk index 1.00). No recurring root-cause pattern emerged. Highest-risk components: CMP-005, CMP-004, CMP-007.",0.95,0.019,,2026-09-13T12:50:26.978748
WF-814b4e899e4c,ECR-2026-001,Retrieval Agent,dependencies,COMPLETED,Tracing component dependencies,{},"{""seeds"": [""CMP-003"", ""CMP-004"", ""CMP-005""], ""blast_radius"": 5, ""direct"": [""CMP-002"", ""CMP-006"", ""CMP-007"", ""CMP-012""], ""indirect"": [""CMP-001""], ""dependency_risk_score"": 1.0}","Seeded the walk from Payment Service, Payment Validator, Currency Service. 4 component(s) depend on the change directly (API Gateway, Order Service, Refund Service, Invoice Service) and 1 indirectly (Frontend Portal). Dependency risk index 1.00 over a blast radius of 5 component(s).",0.96,0.014,,2026-09-13T12:50:27.004994
WF-814b4e899e4c,ECR-2026-001,Retrieval Agent,collaboration_retrieval,COMPLETED,Collecting review comments and evidence,{},"{""comments"": 9, ""evidence"": 5, ""decisions"": 2, ""concerns"": 4}","Collected 9 comment(s) and 5 evidence artefact(s) for ECR-2026-001. 2 explicit decision(s), 4 raised concern(s). Evidence outcomes: PASS x1, FAIL x1, APPROVED x2, CLOSED x1. 9 impacted requirement(s) have no evidence attached.",0.95,0.007,,2026-09-13T12:50:27.022104
WF-814b4e899e4c,ECR-2026-001,Retrieval Agent,retrieval_agent,COMPLETED,"Retrieving ECR details, requirements, tests, defects, comments and evidence",{},"{""sources"": {""requirements"": 10, ""defects"": 10, ""comments"": 9, ""evidence"": 5, ""code_modules"": 3, ""dependency_components"": 5}, ""plan"": [""ecr_understanding"", ""planning"", ""requirements"", ""code_impact"", ""historical_defects"", ""dependencies"", ""collaboration_retrieval"", ""impact_assessment"", ""test_discovery"", ""test_selection"", ""test_prioritization"", ""correlation"", ""summarization"", ""report""]}","Retrieved 10 requirements, 10 defects, 9 comments, 5 evidence, 3 code modules, 5 dependency components for ECR-2026-001.",0.957,5.205,,2026-09-13T12:50:27.033250
WF-814b4e899e4c,ECR-2026-001,Correlation Agent,impact_assessment,COMPLETED,Scoring impact and risk,{},"{""risk_score"": 80, ""risk_level"": ""CRITICAL"", ""direct"": [""CMP-003"", ""CMP-004"", ""CMP-005""], ""indirect"": [""CMP-007"", ""CMP-002"", ""CMP-006"", ""CMP-001"", ""CMP-012""]}","Risk score 80/100 (CRITICAL). Historical Risk: 10 similar historical defect(s), 5 of them critical. Business Criticality: Most critical directly impacted component is rated CRITICAL; 10 linked requirement(s); strongest downstream exposure 0.69 after coupling discount. Dependency Impact: 5 component(s) sit downstream of the change (dependency risk index 1.00).",0.9,0.004,,2026-09-13T12:50:27.051594
WF-814b4e899e4c,ECR-2026-001,Correlation Agent,test_discovery,COMPLETED,Discovering candidate test cases,{},"{""candidates"": 136, ""total_available"": 150, ""domain"": ""commerce"", ""requirement_trace"": 79, ""component_coverage"": 136, ""semantic_search"": 30, ""unique_candidates"": 136}","Discovered 136 unique candidate test(s) out of 150 commerce test(s): 79 via requirement traceability, 136 via component coverage and 30 via semantic search.",0.95,0.173,,2026-09-13T12:50:27.232895
WF-814b4e899e4c,ECR-2026-001,Correlation Agent,test_selection,COMPLETED,Selecting the minimum effective regression suite,{},"{""selected"": 66, ""total_available"": 150, ""reduction_percentage"": 56.0, ""priority_distribution"": {""P0"": 9, ""P1"": 28, ""P2"": 29, ""P3"": 0}}",Scored 136 candidate(s) against the impact model and selected 66 test(s) out of a 150-test regression suite (56.0% reduction). Estimated execution 171 minutes versus 370 minutes for the full suite.,0.95,0.011,,2026-09-13T12:50:27.262608
WF-814b4e899e4c,ECR-2026-001,Correlation Agent,test_prioritization,COMPLETED,Prioritising the execution order,{},"{""waves"": {""P0"": 9, ""P1"": 28, ""P2"": 29, ""P3"": 0}, ""critical_path_minutes"": 100.8, ""estimated_duration_minutes"": 171.0}","Ordered 66 test(s): 9 P0, 28 P1, 29 P2, 0 P3. P0 and P1 complete in about 101 minutes, the whole selection in 171 minutes.",0.9,0.003,,2026-09-13T12:50:27.278479
WF-814b4e899e4c,ECR-2026-001,Correlation Agent,correlation,COMPLETED,Correlating artefacts across sources,{},"{""nodes"": 109, ""edges"": 223, ""coverage"": {""requirements"": 10, ""tests_selected"": 66, ""defects"": 10, ""comments"": 9, ""evidence"": 5, ""components"": 8}, ""corroborated"": 9}",Correlated 109 artefact(s) and 223 typed link(s) for ECR-2026-001 across 6 source(s). 9 artefact(s) are corroborated by more than one source.,0.96,0.004,,2026-09-13T12:50:27.295653
WF-814b4e899e4c,ECR-2026-001,Correlation Agent,correlation_agent,COMPLETED,"Correlating sources, scoring impact and selecting regression tests",{},"{""risk_score"": 80, ""risk_level"": ""CRITICAL"", ""selected_tests"": 66, ""reduction_percentage"": 56.0, ""correlated_nodes"": 109}","Correlated 109 artefact(s), scored risk 80/100 (CRITICAL) and selected 66 of 150 tests (56.0% reduction).",0.932,0.26,,2026-09-13T12:50:27.307190
WF-814b4e899e4c,ECR-2026-001,Summarization Agent,summarization,COMPLETED,Summarising the correlated findings,{},"{""question"": ""What do I need to know about this change, and what should we test?"", ""citations"": [""BUG-101"", ""BUG-118"", ""BUG-142"", ""BUG-155"", ""BUG-201"", ""BUG-332"", ""CMT-1001"", ""CMT-1003"", ""CMT-1004"", ""CMT-1008"", ""CMT-1022"", ""EV-3001""]}","ECR-2026-001 (Multi-currency support in payment validation) is a backend change in the Payments domain, scored 80/100 (CRITICAL). It touches REQ-1002 (Payment Validation Rules Engine), REQ-1003 (Unsupported Currency Rejection), REQ-1004 (Multi Currency Payment Processing). History is relevant here: BUG-201 (Payment validation allowed invalid currency codes), BUG-101 (Currency conversion failed for unsupported currencies), BUG-332 (Refund service failed after payment validation change). Decisions already recorded: Decision: UNSUPPORTED_CURRENCY must be raised before funds are reserved, not after. Confirmed with treasury that no reservation may exist for a rejected currency. Open concern: BUG-201 was reopened twice because the fix only checked code length. Please add the ISO-4217 catalogue assertion to the regression pack, not just the merchant list check. Recommended regression: 66 of 150 tests (56.0% reduction), 9 P0 and 28 P1. Evidence is missing for: REQ-1001, REQ-1002, REQ-1004, REQ-1006.",0.95,0.0,,2026-09-13T12:50:27.319243
WF-814b4e899e4c,ECR-2026-001,Summarization Agent,report,COMPLETED,Generating the ECR intelligence report,{},"{""sections"": 15, ""risk_score"": 80, ""confidence"": 0.947, ""metrics"": {""total_tests"": 150, ""candidate_tests"": 136, ""selected_tests"": 66, ""reduction_percentage"": 56.0, ""estimated_duration_minutes"": 171.0, ""baseline_duration_minutes"": 369.7, ""priority_distribution"": {""P0"": 9, ""P1"": 28, ""P2"": 29, ""P3"": 0}, ""correlated_artefacts"": 109, ""correlated_links"": 223, ""comments"": 9, ""evidence"": 5}}",Assembled 15 report sections with overall confidence 95% (HIGH CONFIDENCE).,0.947,0.003,,2026-09-13T12:50:27.334535
WF-814b4e899e4c,ECR-2026-001,Summarization Agent,summarization_agent,COMPLETED,Answering the question and publishing the report,{},"{""answer_preview"": ""ECR-2026-001 (Multi-currency support in payment validation) is a backend change in the Payments domain, scored 80/100 (CRITICAL). It touches REQ-1002 (Payment Validation Rules Engine), REQ-1003 (Unsupported Currency Rejection), REQ-1004 (Mu"", ""citations"": [""BUG-101"", ""BUG-118"", ""BUG-142"", ""BUG-155"", ""BUG-201"", ""BUG-332"", ""CMT-1001"", ""CMT-1003"", ""CMT-1004"", ""CMT-1008"", ""CMT-1022"", ""EV-3001""], ""metrics"": {""total_tests"": 150, ""candidate_tests"": 136, ""selected_tests"": 66, ""reduction_percentage"": 56.0, ""estimated_duration_minutes"": 171.0, ""baseline_duration_minutes"": 369.7, ""priority_distribution"": {""P0"": 9, ""P1"": 28, ""P2"": 29, ""P3"": 0}, ""correlated_artefacts"": 109, ""correlated_links"": 223, ""comments"": 9, ""evidence"": 5}}","ECR-2026-001 (Multi-currency support in payment validation) is a backend change in the Payments domain, scored 80/100 (CRITICAL). It touches REQ-1002 (Payment Validation Rules Engine), REQ-1003 (Unsupported Currency Rejection), REQ-1004 (Multi Currency Payment Processing). History is relevant here: BUG-201 (Payment validation allowed invalid currency codes), BUG-101 (Currency conversion failed for",0.947,0.026,,2026-09-13T12:50:27.345723
WF-53006fa9493d,ECR-2026-001,Retrieval Agent,ecr_understanding,COMPLETED,Extracting change entities and classifying the change,{},"{""change_type"": ""BACKEND_CHANGE"", ""business_domain"": ""Payments"", ""affected_features"": [""Payment Validation""], ""risk_indicators"": [""financial_transaction"", ""validation_logic_change"", ""shared_library_change""]}","Classified as BACKEND_CHANGE (confidence 97%) from 1 signal groups. Extracted 12 technical keywords, 1 affected feature(s) and 3 risk indicator(s).",0.97,0.026,,2026-09-13T12:51:26.177067
WF-53006fa9493d,ECR-2026-001,Retrieval Agent,planning,COMPLETED,Planning which sources to investigate,{},"{""plan"": [""ecr_understanding"", ""planning"", ""requirements"", ""code_impact"", ""historical_defects"", ""dependencies"", ""collaboration_retrieval"", ""impact_assessment"", ""test_discovery"", ""test_selection"", ""test_prioritization"", ""correlation"", ""summarization"", ""report""], ""skipped"": [], ""routing_reason"": ""Backend change with 3 risk indicator(s) detected. Running the full investigation.""}",Backend change with 3 risk indicator(s) detected. Running the full investigation.,0.95,0.0,,2026-09-13T12:51:26.207625
WF-53006fa9493d,ECR-2026-001,Retrieval Agent,requirements,COMPLETED,Retrieving impacted requirements,{},"{""matched"": 10, ""searched"": 30, ""top"": [""REQ-1002"", ""REQ-1003"", ""REQ-1004"", ""REQ-1013"", ""REQ-1001""]}","Searched 30 requirements across traceability, semantic and keyword channels and matched 10. Strongest match is REQ-1002 (Payment Validation Rules Engine) at 100% relevance.",0.97,0.052,,2026-09-13T12:51:26.286642
WF-53006fa9493d,ECR-2026-001,Retrieval Agent,code_impact,COMPLETED,Analysing code impact,{},"{""direct_files"": [""payment/validator.py"", ""payment/currency.py"", ""payment/service.py""], ""direct_components"": [""CMP-003"", ""CMP-004"", ""CMP-005""], ""indirect_components"": [""CMP-002"", ""CMP-006"", ""CMP-007"", ""CMP-012""], ""apis"": [""POST /auth/refresh"", ""POST /orders/checkout"", ""POST /payments"", ""POST /refunds"", ""POST /refunds/v2""]}","Parsed 18 modules (30 import edges) and resolved 3 changed module(s). Direct impact: CMP-003, CMP-004, CMP-005. 4 module(s) import the changed code, giving indirect impact on CMP-002, CMP-006, CMP-007, CMP-012.",0.95,0.001,,2026-09-13T12:51:26.305266
WF-53006fa9493d,ECR-2026-001,Retrieval Agent,historical_defects,COMPLETED,Searching similar historical defects,{},"{""matched"": 10, ""searched"": 38, ""historical_risk_score"": 1.0, ""patterns"": []}","Searched 38 historical defects and found 10 related to this change (historical risk index 1.00). No recurring root-cause pattern emerged. Highest-risk components: CMP-005, CMP-004, CMP-007.",0.95,0.017,,2026-09-13T12:51:26.343328
WF-53006fa9493d,ECR-2026-001,Retrieval Agent,dependencies,COMPLETED,Tracing component dependencies,{},"{""seeds"": [""CMP-003"", ""CMP-004"", ""CMP-005""], ""blast_radius"": 5, ""direct"": [""CMP-002"", ""CMP-006"", ""CMP-007"", ""CMP-012""], ""indirect"": [""CMP-001""], ""dependency_risk_score"": 1.0}","Seeded the walk from Payment Service, Payment Validator, Currency Service. 4 component(s) depend on the change directly (API Gateway, Order Service, Refund Service, Invoice Service) and 1 indirectly (Frontend Portal). Dependency risk index 1.00 over a blast radius of 5 component(s).",0.96,0.007,,2026-09-13T12:51:26.377724
WF-53006fa9493d,ECR-2026-001,Retrieval Agent,collaboration_retrieval,COMPLETED,Collecting review comments and evidence,{},"{""comments"": 9, ""evidence"": 5, ""decisions"": 2, ""concerns"": 4}","Collected 9 comment(s) and 5 evidence artefact(s) for ECR-2026-001. 2 explicit decision(s), 4 raised concern(s). Evidence outcomes: PASS x1, FAIL x1, APPROVED x2, CLOSED x1. 9 impacted requirement(s) have no evidence attached.",0.95,0.004,,2026-09-13T12:51:26.407758
WF-53006fa9493d,ECR-2026-001,Retrieval Agent,retrieval_agent,COMPLETED,"Retrieving ECR details, requirements, tests, defects, comments and evidence",{},"{""sources"": {""requirements"": 10, ""defects"": 10, ""comments"": 9, ""evidence"": 5, ""code_modules"": 3, ""dependency_components"": 5}, ""plan"": [""ecr_understanding"", ""planning"", ""requirements"", ""code_impact"", ""historical_defects"", ""dependencies"", ""collaboration_retrieval"", ""impact_assessment"", ""test_discovery"", ""test_selection"", ""test_prioritization"", ""correlation"", ""summarization"", ""report""]}","Retrieved 10 requirements, 10 defects, 9 comments, 5 evidence, 3 code modules, 5 dependency components for ECR-2026-001.",0.957,0.278,,2026-09-13T12:51:26.429037
WF-53006fa9493d,ECR-2026-001,Correlation Agent,impact_assessment,COMPLETED,Scoring impact and risk,{},"{""risk_score"": 80, ""risk_level"": ""CRITICAL"", ""direct"": [""CMP-003"", ""CMP-004"", ""CMP-005""], ""indirect"": [""CMP-007"", ""CMP-002"", ""CMP-006"", ""CMP-001"", ""CMP-012""]}","Risk score 80/100 (CRITICAL). Historical Risk: 10 similar historical defect(s), 5 of them critical. Business Criticality: Most critical directly impacted component is rated CRITICAL; 10 linked requirement(s); strongest downstream exposure 0.69 after coupling discount. Dependency Impact: 5 component(s) sit downstream of the change (dependency risk index 1.00).",0.9,0.003,,2026-09-13T12:51:26.471808
WF-53006fa9493d,ECR-2026-001,Correlation Agent,test_discovery,COMPLETED,Discovering candidate test cases,{},"{""candidates"": 136, ""total_available"": 150, ""domain"": ""commerce"", ""requirement_trace"": 79, ""component_coverage"": 136, ""semantic_search"": 30, ""unique_candidates"": 136}","Discovered 136 unique candidate test(s) out of 150 commerce test(s): 79 via requirement traceability, 136 via component coverage and 30 via semantic search.",0.95,0.282,,2026-09-13T12:51:26.771550
WF-53006fa9493d,ECR-2026-001,Correlation Agent,test_selection,COMPLETED,Selecting the minimum effective regression suite,{},"{""selected"": 66, ""total_available"": 150, ""reduction_percentage"": 56.0, ""priority_distribution"": {""P0"": 9, ""P1"": 28, ""P2"": 29, ""P3"": 0}}",Scored 136 candidate(s) against the impact model and selected 66 test(s) out of a 150-test regression suite (56.0% reduction). Estimated execution 171 minutes versus 370 minutes for the full suite.,0.95,0.041,,2026-09-13T12:51:26.839163
WF-53006fa9493d,ECR-2026-001,Correlation Agent,test_prioritization,COMPLETED,Prioritising the execution order,{},"{""waves"": {""P0"": 9, ""P1"": 28, ""P2"": 29, ""P3"": 0}, ""critical_path_minutes"": 100.8, ""estimated_duration_minutes"": 171.0}","Ordered 66 test(s): 9 P0, 28 P1, 29 P2, 0 P3. P0 and P1 complete in about 101 minutes, the whole selection in 171 minutes.",0.9,0.004,,2026-09-13T12:51:26.876647
WF-53006fa9493d,ECR-2026-001,Correlation Agent,correlation,COMPLETED,Correlating artefacts across sources,{},"{""nodes"": 109, ""edges"": 223, ""coverage"": {""requirements"": 10, ""tests_selected"": 66, ""defects"": 10, ""comments"": 9, ""evidence"": 5, ""components"": 8}, ""corroborated"": 9}",Correlated 109 artefact(s) and 223 typed link(s) for ECR-2026-001 across 6 source(s). 9 artefact(s) are corroborated by more than one source.,0.96,0.003,,2026-09-13T12:51:26.908395
WF-53006fa9493d,ECR-2026-001,Correlation Agent,correlation_agent,COMPLETED,"Correlating sources, scoring impact and selecting regression tests",{},"{""risk_score"": 80, ""risk_level"": ""CRITICAL"", ""selected_tests"": 66, ""reduction_percentage"": 56.0, ""correlated_nodes"": 109}","Correlated 109 artefact(s), scored risk 80/100 (CRITICAL) and selected 66 of 150 tests (56.0% reduction).",0.932,0.47,,2026-09-13T12:51:26.943997
